,Country,State,City,Institution,Group,Head,Ions
1,Argentina,,Buenos Aires,University of Buenos Aires,Laboratory of Cold Ions and Atoms,Christian Schmiegelow,Ca+
2,Australia,New South Wales,Sydney,University of Sydney,Quantum Control Laboratory,Mike Biercuk,"Be+, Yb+"
3,Australia,Queensland,Brisbane,Griffith University,Ion-trap Quantum Computing Laboratory,"Eric Streed, Mirko Lobino",Yb+
4,Austria,,Innsbruck,University of Innsbruck,Quantum Optics and Spectroscopy,Rainer Blatt,"Al+, Ba+, Ca+, Sr+"
5,Austria,,Innsbruck,University of Innsbruck,Quantum Interfaces Group,Tracy Northup,Ca+
6,Austria,,Innsbruck,[Company],AQT,Thomas Monz,Ca+
7,Austria,,Villach,[Company],Infineon Technologies,Clemens Rössler,Ca+
8,Canada,British Columbia,Burnaby,Simon Fraser University,Haljan Group,Paul Haljan,Yb+
9,Canada,Ontario,Ottawa,NRC,Measurement science and standards,"John Bernard, Alan Madej",Sr+
10,Canada,Ontario,Waterloo,"IQC, University of Waterloo",Quantum Information with Trapped Ions,K. Rajibul Islam,"Ba+, Yb+"
11,Canada,Ontario,Waterloo,"IQC, University of Waterloo",Crystal Senko Group,Crystal Senko,Ba+
12,China,Anhui,Hefei,University of Science and Technology of China,Key Laboratory of Quantum Informat,Guang-Can Guo,Yb+
13,China,Anhui,Hefei,University of Science and Technology of China,Key Laboratory of Microscale Magnetic Resonance,"Jiangfeng Du, Yiheng Lin","Be+, Ca+, CaH+"
14,China,Beijing,Beijing,Tsinghua University,Center for Quantum Information,Kihwan Kim,"Ba+, Yb+"
15,China,Beijing,Beijing,Tsinghua University,Center for Quantum Information,Luming Duan,"Ca+, Yb+"
16,China,Beijing,Beijing,Tsinghua University,Joint institute for Measurement Science,Li-Jun Wang,"Ba+, Cd+, In+"
17,China,Hubei,Wuhan,Huazhong University of Science and Technology,MOE Key Laboratory,Ze-Huang Lu,"Al+, Mg+"
18,China,Hubei,Wuhan,Wuhan Institute of Physics and Mathematics,Ion Optical Frequency Standard,Xue-Ren Huang,"Al+, Ca+"
19,China,Hubei,Wuhan,Wuhan Institute of Physics and Mathematics,Mercury Ion Microwave Frequency Standard,Jiaomei Li,Hg+
20,China,Hubei,Wuhan,Wuhan Institute of Physics and Mathematics,Quantum Information and Trapped Ion Physics,Mang Feng,Ca+
21,China,Hubei,Wuhan,Wuhan Institute of Physics and Mathematics,Trapping of Cold Ions,Ke-Lin Gao,"Ca+, Li+"
22,China,Hunan,Changsha,National University of Defense Technology,Department of Physics,Pingxing Chen,Ca+
23,Czech Republic,,Olomouc & Brno,Palacký University & ISI,Quantum Optics Lab,"Radim Filip, Lukáš Slodička",Ca+
24,Denmark,,Aarhus,Aarhus University,Ion Trap Group,Michael Drewsen,"Ca+, molecular ions"
25,Finland,,Helsinki,Aalto University,MIKES Time and Frequency Group,Mikko Merimaa,Sr+
26,France,,Besançon,FEMTO-ST,Compact Optical Atomic Clock,Clément Lacroûte,Yb+
27,France,,Marseille,Aix-Marseille University,Ion Trapping and Laser Manipulation Group,"Martina Knoop, Caroline Champenois",Ca+
28,France,,Paris,LKB,Trapped Ions Group,Laurent Hilico,H2+
29,France,,Paris,Université Paris Diderot,Trapped Ions and Quantum Information,"Luca Guidoni, Samuel Guibal",Sr+
30,Germany,,Bonn,University of Bonn,Experimental Quantum Physics,Michael Köhl,Yb+
31,Germany,,Braunschweig,PTB,Quantum Logic Spectroscopy Group,Piet Schmidt,"Al+, Ca+, Mg+, Be+, molecular ions"
32,Germany,,Braunschweig,PTB,Multi-Ion Clocks,Tanja Mehlstäubler,"In+, Yb+"
33,Germany,,Braunschweig,PTB,Trapped-Ion Quantum Engineering,Christian Ospelkaus,Be+
34,Germany,,Braunschweig,PTB,Optical Clocks with Trapped Ions,Nils Huntemann,"Yb+, Sr+"
35,Germany,,Braunschweig,PTB,Laser Nuclear Spectroscopy,Ekkehard Peik,Th+
36,Germany,,Düsseldorf,University of Düsseldorf,Quantum Optics and Relativity,Stephan Schiller,"Be+, HD+"
37,Germany,,Erlangen,MPI for the Science of Light,Leuchs Division,Gerd Leuchs,Yb+
38,Germany,,Freiburg,University of Freiburg,Schaetz Division,Tobias Schaetz,"Ba+, Mg+"
39,Germany,,Garching,MPQ,Trapped Ions Group,"Thomas Udem, Ted Hänsch","Be+, Mg+"
40,Germany,,Hannover,Leibniz University,Trapped-Ion Quantum Engineering,Christian Ospelkaus,Be+
41,Germany,,Heidelberg,MPI für Kernphysik,Highly Charged Ion Dynamics,José Ramon Crespo López-Urrutia,"Be+, highly charged ions"
42,Germany,,Kassel,University of Kassel,Light-matter interaction,Kilian Singer,Ca+
43,Germany,,Mainz,Mainz University,Cold Ions and Experimental Quantum Information,Ferdinand Schmidt-Kaler,"Ca+, Sr+"
44,Germany,,Saarbrücken,Saarland University,Quantum Photonics Group,Jürgen Eschner,Ca+
45,Germany,,Siegen,University of Siegen,Quantum Optics Research Group,Christof Wunderlich,Yb+
